producto,id_booking,estado,fecha_inicio,fecha_fin,fecha_creacion,cliente
Habs y Salas,22002,Perdido,2025-07-21,2025-07-24,2025-04-03,GENERICO GENERICO
Salas,22004,Perdido,2025-05-17,2025-05-17,2025-04-03,GENERICO GENERICO
Habs y Salas,22018,Perdido,2025-05-19,2025-05-22,2025-04-03,GENERICO GENERICO
Habs y Salas,22048,Perdido,2025-08-03,2025-08-06,2025-04-07,"GENERICO, AGENCIAS"
Salas,22049,Perdido,2025-05-20,2025-05-20,2025-04-07,"GENERICO, EMPRESAS"
Salas,22078,Perdido,2025-04-14,2025-04-14,2025-04-07,GENERICO GENERICO
Salas,22111,CONFIRMACIÓN,2025-05-24,2025-05-24,2025-04-07,cliente_043
Salas,22116,CONFIRMACIÓN,2025-04-16,2025-04-16,2025-04-08,cliente_018
Salas,22128,Perdido,2025-04-25,2025-04-25,2025-04-08,GENERICO GENERICO
Salas,22136,Perdido,2025-04-12,2025-04-12,2025-04-08,GENERICO GENERICO
Salas,22157,Perdido,2025-05-10,2025-05-10,2025-04-08,GENERICO GENERICO
Salas,22182,Perdido,2025-10-02,2025-10-04,2025-04-09,"GENERICO, AGENCIAS"
Salas,22189,Perdido,2025-05-10,2025-05-10,2025-04-09,GENERICO GENERICO
Habs y Salas,22210,CONFIRMACIÓN,2025-09-28,2025-10-01,2025-04-09,cliente_044
Salas,22211,Perdido,2025-06-24,2025-06-24,2025-04-09,GENERICO GENERICO
Salas,22248,Perdido,2025-06-22,2025-06-28,2025-04-10,"GENERICO, EMPRESAS"
Salas,22249,Perdido,2025-10-10,2025-10-10,2025-04-10,"GENERICO, EMPRESAS"
Salas,22309,Perdido,2025-05-22,2025-05-22,2025-04-11,"GENERICO, EMPRESAS"
Salas,22310,Perdido,2025-05-15,2025-05-15,2025-04-11,"GENERICO, EMPRESAS"
Salas,22314,Perdido,2025-04-15,2025-04-15,2025-04-11,"GENERICO, EMPRESAS"
Salas,22316,Perdido,2025-06-05,2025-06-05,2025-04-11,"GENERICO, AGENCIAS"
Salas,22323,Perdido,2025-10-18,2025-10-18,2025-04-11,"GENERICO, EMPRESAS"
Salas,22324,CONFIRMACIÓN,2025-05-05,2025-05-08,2025-04-11,cliente_045
Salas,22338,Cancelado,2025-06-08,2025-06-08,2025-04-14,GENERICO GENERICO
Salas,22365,CONFIRMACIÓN,2025-04-23,2025-04-23,2025-04-14,cliente_018
Salas,22366,CONFIRMACIÓN,2025-04-23,2025-04-23,2025-04-14,cliente_018
Salas,22390,Perdido,2025-04-27,2025-04-27,2025-04-15,GENERICO GENERICO
Salas,22401,Perdido,2025-05-11,2025-05-11,2025-04-14,GENERICO GENERICO
Habs y Salas,22417,CONFIRMACIÓN,2025-06-01,2025-06-07,2025-04-15,cliente_046
Salas,22421,Perdido,2025-04-15,2025-04-15,2025-04-15,"GENERICO, EMPRESAS"
Salas,22422,CONFIRMACIÓN,2025-05-06,2025-05-08,2025-04-15,cliente_030
Salas,22444,CONFIRMACIÓN,2025-04-15,2025-04-15,2025-04-15,cliente_047
Habs y Salas,22457,Rechazado,2025-06-10,2025-06-13,2025-04-16,cliente_048
Salas,22501,CONFIRMACIÓN,2025-05-19,2025-05-21,2025-04-16,cliente_049
Habs y Salas,22512,Perdido,2025-09-30,2025-10-03,2025-04-16,"GENERICO, AGENCIAS"
Salas,22591,CONFIRMACIÓN,2025-04-30,2025-04-30,2025-04-22,cliente_018
Habs y Salas,22649,Cancelado,2025-05-12,2025-05-13,2025-04-23,"GENERICO, AGENCIAS"
Salas,22653,Perdido,2025-11-21,2025-11-21,2025-04-23,"GENERICO, EMPRESAS"
Salas,22654,Perdido,2025-06-12,2025-06-12,2025-04-23,"GENERICO, EMPRESAS"
Habs y Salas,22656,Perdido,2025-05-15,2025-05-18,2025-04-23,GENERICO GENERICO
Habs y Salas,22657,CONFIRMACIÓN,2025-05-13,2025-05-16,2025-04-24,GENERICO GENERICO
Salas,22709,Perdido,2025-05-02,2025-05-02,2025-04-24,GENERICO GENERICO
Salas,22718,CONFIRMACIÓN,2025-05-19,2025-05-21,2025-04-24,cliente_030
Habs y Salas,22761,Rechazado,2025-07-07,2025-07-27,2025-04-28,GENERICO GENERICO
Salas,22790,CONFIRMACIÓN,2025-05-07,2025-05-07,2025-04-28,cliente_018
Habs y Salas,22798,Perdido,2025-06-29,2025-07-01,2025-04-28,GENERICO GENERICO
Salas,22821,CONFIRMACIÓN,2025-05-08,2025-05-08,2025-04-28,cliente_018
Salas,22892,CONFIRMACIÓN,2025-05-08,2025-05-08,2025-04-30,cliente_018
Salas,22937,CONFIRMACIÓN,2025-05-14,2025-05-14,2025-05-05,cliente_018
Habs y Salas,22955,CONFIRMACIÓN,2025-06-11,2025-06-13,2025-05-02,cliente_050
Salas,23003,Perdido,2025-05-28,2025-05-28,2025-05-05,"GENERICO, EMPRESAS"
Salas,23005,Rechazado,2025-05-14,2025-05-14,2025-05-06,"GENERICO, AGENCIAS"
Salas,23006,Perdido,2025-05-22,2025-05-22,2025-05-06,"GENERICO, AGENCIAS"
Salas,23019,Perdido,2025-06-20,2025-06-20,2025-05-06,"GENERICO, EMPRESAS"
Salas,23117,Perdido,2025-10-08,2025-10-09,2025-05-08,"GENERICO, AGENCIAS"
Salas,23167,CONFIRMACIÓN,2025-07-18,2025-07-18,2025-05-09,cliente_051
Salas,23168,Perdido,2025-06-13,2025-06-13,2025-05-09,"GENERICO, EMPRESAS"
Habs y Salas,23169,Perdido,2025-11-11,2025-11-14,2025-05-09,GENERICO GENERICO
Salas,23201,Rechazado,2025-11-28,2025-11-28,2025-05-09,"GENERICO, EMPRESAS"
Salas,23226,CONFIRMACIÓN,2025-05-21,2025-05-21,2025-05-12,cliente_018
Salas,23227,CONFIRMACIÓN,2025-05-21,2025-05-21,2025-05-12,cliente_018
Salas,23265,Perdido,2025-05-17,2025-05-17,2025-05-12,"GENERICO, EMPRESAS"
Salas,23295,CONFIRMACIÓN,2025-05-14,2025-05-16,2025-05-13,cliente_018
Habs y Salas,23297,Perdido,2025-06-24,2025-06-26,2025-05-13,"GENERICO, AGENCIAS"
Salas,23329,CONFIRMACIÓN,2025-11-20,2025-11-20,2025-05-14,cliente_052
Salas,23332,Perdido,2025-06-17,2025-06-17,2025-05-13,"GENERICO, AGENCIAS"
Salas,23407,Perdido,2025-09-08,2025-09-12,2025-05-15,"GENERICO, EMPRESAS"
Salas,23426,CONFIRMACIÓN,2025-05-15,2025-05-15,2025-05-15,cliente_053
Salas,23448,Perdido,2025-06-20,2025-06-20,2025-05-16,"GENERICO, EMPRESAS"
Salas,23449,CONFIRMACIÓN,2025-05-16,2025-05-16,2025-05-16,cliente_053
Salas,23453,Cancelado,2025-06-06,2025-06-06,2025-05-16,"GENERICO, EMPRESAS"
Salas,23510,CONFIRMACIÓN,2025-05-28,2025-05-28,2025-05-19,cliente_018
Salas,23556,CONFIRMACIÓN,2025-05-20,2025-05-20,2025-05-20,cliente_054
Habs y Salas,23632,CONFIRMACIÓN,2025-06-19,2025-06-23,2025-05-21,"GENERICO, EMPRESAS"
Habs y Salas,23701,Perdido,2025-06-05,2025-06-06,2025-05-22,GENERICO GENERICO
Salas,23721,Perdido,2025-06-04,2025-06-04,2025-05-22,"GENERICO, EMPRESAS"
Salas,23806,CONFIRMACIÓN,2025-06-04,2025-06-04,2025-05-26,cliente_018
Salas,23807,CONFIRMACIÓN,2025-06-05,2025-06-05,2025-05-26,cliente_018
Salas,23809,Perdido,2025-05-31,2025-05-31,2025-05-26,"GENERICO, AGENCIAS"
Salas,23954,Perdido,2025-07-08,2025-07-08,2025-05-29,GENERICO GENERICO
Habs y Salas,24003,CONFIRMACIÓN,2025-07-02,2025-07-04,2025-05-30,cliente_055
Salas,24010,CONFIRMACIÓN,2025-06-11,2025-06-11,2025-06-02,cliente_018
Salas,24041,CONFIRMACIÓN,2025-06-12,2025-06-12,2025-06-02,cliente_018
Habs y Salas,24071,Perdido,2025-10-25,2025-10-29,2025-06-03,GENERICO GENERICO
Salas,24107,Perdido,2025-11-14,2025-11-14,2025-06-04,"GENERICO, EMPRESAS"
Habs y Salas,24121,Perdido,2025-10-05,2025-10-10,2025-06-04,"GENERICO, EMPRESAS"
Salas,24163,Perdido,2025-12-01,2025-12-01,2025-06-05,"GENERICO, EMPRESAS"
Salas,24198,Perdido,2025-06-14,2025-06-14,2025-06-06,GENERICO GENERICO
Salas,24255,Perdido,2025-06-10,2025-06-10,2025-06-10,"GENERICO, EMPRESAS"
Salas,24358,Perdido,2025-07-02,2025-07-03,2025-06-12,"GENERICO, EMPRESAS"
Habs y Salas,24391,Perdido,2025-09-02,2025-09-04,2025-06-12,GENERICO GENERICO
Salas,24440,Perdido,2025-07-16,2025-07-16,2025-06-16,GENERICO GENERICO
Habs y Salas,24509,CONFIRMACIÓN,2025-10-06,2025-10-08,2025-06-17,cliente_056
Habs y Salas,24527,Perdido,2025-10-20,2025-10-24,2025-06-17,GENERICO GENERICO
Salas,24593,CONFIRMACIÓN,2025-07-07,2025-07-07,2025-06-19,cliente_023
Salas,24594,CONFIRMACIÓN,2025-06-26,2025-06-26,2025-06-19,cliente_018
Habs y Salas,24595,Perdido,2025-11-14,2025-11-16,2025-06-19,GENERICO GENERICO
Salas,24660,Perdido,2025-09-14,2025-09-14,2025-06-25,"GENERICO, EMPRESAS"
Salas,24683,Perdido,2025-09-24,2025-09-25,2025-06-23,"GENERICO, AGENCIAS"
Habs y Salas,24696,CONFIRMACIÓN,2025-07-15,2025-07-18,2025-06-23,cliente_057
Salas,24718,Perdido,2025-07-10,2025-07-10,2025-06-26,"GENERICO, EMPRESAS"
Salas,24735,Perdido,2025-12-11,2025-12-11,2025-06-25,GENERICO GENERICO
Salas,24752,Perdido,2025-09-08,2025-09-08,2025-06-25,"GENERICO, AGENCIAS"
Salas,24800,Perdido,2025-08-01,2025-08-01,2025-06-27,"GENERICO, EMPRESAS"
Salas,24810,Perdido,2025-07-07,2025-07-07,2025-06-28,"GENERICO, AGENCIAS"
Salas,24966,CONFIRMACIÓN,2025-07-03,2025-07-07,2025-07-03,cliente_018
Habs y Salas,25004,Perdido,2025-08-30,2025-08-31,2025-07-03,"GENERICO, AGENCIAS"
Salas,25053,Perdido,2025-10-08,2025-10-08,2025-07-04,"GENERICO, EMPRESAS"
Salas,25054,Perdido,2025-08-23,2025-08-23,2025-07-04,"GENERICO, EMPRESAS"
Salas,25148,CONFIRMACIÓN,2025-07-17,2025-07-17,2025-07-08,cliente_018
Habs y Salas,25186,Perdido,2025-09-07,2025-09-09,2025-07-08,"GENERICO, AGENCIAS"
Habs y Salas,25432,Perdido,2025-07-29,2025-07-31,2025-07-15,GENERICO GENERICO
Salas,25481,CONFIRMACIÓN,2025-07-24,2025-07-24,2025-07-16,cliente_018
Salas,25575,Perdido,2025-11-01,2025-11-01,2025-07-17,"GENERICO, EMPRESAS"
Salas,25614,Perdido,2025-10-07,2025-10-10,2025-07-18,"GENERICO, EMPRESAS"
Salas,25656,CONFIRMACIÓN,2025-07-23,2025-07-24,2025-07-21,cliente_018
Salas,25805,Perdido,2025-09-30,2025-10-02,2025-07-24,"GENERICO, AGENCIAS"
Salas,25807,Perdido,2025-11-03,2025-11-05,2025-07-24,"GENERICO, EMPRESAS"
Habs y Salas,25808,Perdido,2025-09-29,2025-10-03,2025-07-24,GENERICO GENERICO
Habs y Salas,25884,Perdido,2025-10-25,2025-10-27,2025-07-25,GENERICO GENERICO
Habs y Salas,25954,Cancelado,2025-08-19,2025-08-22,2025-07-28,"GENERICO, EMPRESAS"
Habs y Salas,26064,CONFIRMACIÓN,2025-09-01,2025-09-12,2025-07-31,cliente_058
Habs y Salas,26065,Perdido,2025-10-22,2025-10-26,2025-07-31,"GENERICO, AGENCIAS"
Salas,26066,Perdido,2025-10-04,2025-10-04,2025-07-31,"GENERICO, EMPRESAS"
Salas,26070,Perdido,2025-09-27,2025-09-27,2025-07-31,"GENERICO, EMPRESAS"
Habs y Salas,26101,Rechazado,2025-10-20,2025-10-23,2025-07-31,"GENERICO, EMPRESAS"
Salas,26232,Perdido,2025-12-15,2025-12-15,2025-08-05,"GENERICO, EMPRESAS"
Habs y Salas,26309,Perdido,2025-11-05,2025-11-09,2025-08-07,"GENERICO, AGENCIAS"
Salas,26314,Perdido,2025-10-27,2025-10-30,2025-08-07,"GENERICO, EMPRESAS"
Habs y Salas,26329,Perdido,2025-11-14,2025-11-16,2025-08-07,"GENERICO, AGENCIAS"
Habs y Salas,26400,CONFIRMACIÓN,2025-10-06,2025-10-09,2025-08-11,cliente_059
Habs y Salas,26405,Perdido,2025-10-04,2025-10-05,2025-08-11,"GENERICO, AGENCIAS"
Salas,26606,Perdido,2025-12-05,2025-12-19,2025-08-18,"GENERICO, EMPRESAS"
Salas,26607,Perdido,2025-10-30,2025-10-30,2025-08-18,"GENERICO, EMPRESAS"
Habs y Salas,26638,Cancelado,2025-11-06,2025-11-09,2025-08-20,"GENERICO, AGENCIAS"
Habs y Salas,26653,Perdido,2025-10-16,2025-10-19,2025-08-20,"GENERICO, EMPRESAS"
Salas,26773,Perdido,2025-12-04,2025-12-04,2025-08-25,"GENERICO, AGENCIAS"
Salas,26809,CONFIRMACIÓN,2025-10-03,2025-10-05,2025-08-26,cliente_060
Habs y Salas,26828,Perdido,2025-08-30,2025-08-31,2025-08-26,"GENERICO, AGENCIAS"
Salas,26858,Perdido,2025-12-12,2025-12-12,2025-08-27,"GENERICO, EMPRESAS"
Habs y Salas,26860,Perdido,2025-10-19,2025-11-01,2025-08-27,"GENERICO, EMPRESAS"
Salas,26871,Perdido,2025-09-27,2025-09-27,2025-08-27,GENERICO GENERICO
Salas,26891,Perdido,2025-09-22,2025-09-22,2025-08-27,"GENERICO, EMPRESAS"
Salas,26892,CONFIRMACIÓN,2025-10-05,2025-10-05,2025-08-28,cliente_061
Habs y Salas,26893,CONFIRMACIÓN,2025-10-22,2025-10-23,2025-10-02,cliente_062
Habs y Salas,26932,Perdido,2025-10-14,2025-10-17,2025-08-29,"GENERICO, AGENCIAS"
Salas,26946,CONFIRMACIÓN,2025-11-21,2025-11-21,2025-09-01,cliente_063
Salas,26962,CONFIRMACIÓN,2025-09-03,2025-09-09,2025-09-02,cliente_018
Salas,26986,Perdido,2025-12-19,2025-12-19,2025-09-02,"GENERICO, EMPRESAS"
Habs y Salas,27015,CONFIRMACIÓN,2025-10-20,2025-10-23,2025-09-03,cliente_035
Salas,27016,Perdido,2025-10-02,2025-10-02,2025-09-03,GENERICO GENERICO
Salas,27026,Perdido,2025-10-03,2025-10-03,2025-09-03,GENERICO GENERICO
Salas,27031,Perdido,2025-10-18,2025-10-18,2025-09-03,GENERICO GENERICO
Salas,27034,Perdido,2025-11-22,2025-11-22,2025-09-03,GENERICO GENERICO
Salas,27265,Perdido,2025-10-24,2025-10-24,2025-09-09,"GENERICO, EMPRESAS"
Salas,27269,Perdido,2025-09-16,2025-09-16,2025-09-09,"GENERICO, EMPRESAS"
Salas,27285,CONFIRMACIÓN,2025-11-14,2025-11-14,2025-09-09,cliente_064
Salas,27288,Perdido,2025-12-23,2025-12-23,2025-09-09,"GENERICO, AGENCIAS"
Habs y Salas,27290,Perdido,2025-10-23,2025-10-24,2025-09-09,"GENERICO, EMPRESAS"
Salas,27315,Perdido,2025-11-05,2025-11-05,2025-09-10,"GENERICO, EMPRESAS"
Salas,27318,Perdido,2025-10-17,2025-10-17,2025-09-10,"GENERICO, AGENCIAS"
Salas,27319,CONFIRMACIÓN,2025-09-18,2025-09-18,2025-09-10,cliente_018
Salas,27340,Perdido,2025-09-18,2025-09-18,2025-09-10,"GENERICO, EMPRESAS"
Salas,27353,CONFIRMACIÓN,2025-12-19,2025-12-21,2025-09-10,cliente_065
Salas,27359,CONFIRMACIÓN,2025-09-26,2025-09-26,2025-09-10,cliente_066
Salas,27371,Perdido,2025-10-24,2025-10-24,2025-09-10,"GENERICO, EMPRESAS"
Habs y Salas,27374,Perdido,2025-09-15,2025-09-16,2025-09-10,"GENERICO, AGENCIAS"
Salas,27399,Perdido,2025-10-23,2025-10-23,2025-09-12,"GENERICO, EMPRESAS"
Salas,27415,Perdido,2025-11-28,2025-11-28,2025-09-12,"GENERICO, AGENCIAS"
Salas,27418,Perdido,2025-10-17,2025-10-17,2025-09-12,GENERICO GENERICO
Salas,27423,Perdido,2025-09-22,2025-09-26,2025-09-12,"GENERICO, EMPRESAS"
Salas,27494,Perdido,2025-11-04,2025-11-04,2025-09-15,"GENERICO, AGENCIAS"
Salas,27508,Perdido,2025-11-15,2025-11-15,2025-09-16,GENERICO GENERICO
Salas,27510,Rechazado,2025-11-18,2025-11-18,2025-09-16,"GENERICO, AGENCIAS"
Salas,27528,Perdido,2025-10-09,2025-10-09,2025-09-16,"GENERICO, AGENCIAS"
Habs y Salas,27529,Perdido,2025-10-21,2025-10-22,2025-09-16,"GENERICO, AGENCIAS"
Salas,27530,Perdido,2025-12-21,2025-12-21,2025-09-16,GENERICO GENERICO
Salas,27533,CONFIRMACIÓN,2025-09-23,2025-09-23,2025-09-16,cliente_067
Salas,27534,Perdido,2025-10-29,2025-10-29,2025-09-17,"GENERICO, AGENCIAS"
Salas,27558,CONFIRMACIÓN,2025-12-21,2025-12-21,2025-09-17,cliente_068
Salas,27559,Perdido,2025-11-28,2025-11-28,2025-09-17,"GENERICO, AGENCIAS"
Salas,27560,Cancelado,2025-09-28,2025-09-28,2025-09-17,"GENERICO, EMPRESAS"
Salas,27581,Perdido,2025-10-10,2025-10-10,2025-09-17,GENERICO GENERICO
Salas,27615,Perdido,2025-11-01,2025-11-01,2025-09-18,GENERICO GENERICO
Habs y Salas,27659,Perdido,2025-10-23,2025-10-25,2025-09-19,"GENERICO, AGENCIAS"
Salas,27666,Perdido,2025-10-30,2025-10-30,2025-09-19,"GENERICO, EMPRESAS"
Salas,27669,Perdido,2025-10-17,2025-10-17,2025-09-22,"GENERICO, EMPRESAS"
Habs y Salas,27722,Perdido,2025-09-25,2025-09-26,2025-09-19,GENERICO GENERICO
Salas,27775,Perdido,2025-11-28,2025-11-28,2025-09-23,"GENERICO, EMPRESAS"
Salas,27789,Perdido,2025-10-28,2025-10-28,2025-09-22,"GENERICO, AGENCIAS"
Salas,27801,Perdido,2025-10-04,2025-10-04,2025-09-22,GENERICO GENERICO
Habs y Salas,27803,Perdido,2025-11-02,2025-11-09,2025-09-22,"GENERICO, EMPRESAS"
Salas,27810,Perdido,2025-11-22,2025-11-22,2025-09-23,GENERICO GENERICO
Salas,27857,CONFIRMACIÓN,2025-09-29,2025-09-29,2025-09-24,cliente_069
Salas,27863,Perdido,2025-11-19,2025-11-19,2025-09-24,"GENERICO, EMPRESAS"
Salas,27867,Perdido,2025-12-18,2025-12-18,2025-09-25,"GENERICO, EMPRESAS"
Salas,27904,CONFIRMACIÓN,2025-11-25,2025-11-25,2025-09-25,"GENERICO, EMPRESAS"
Salas,27907,CONFIRMACIÓN,2025-09-25,2025-09-25,2025-09-25,cliente_018
Salas,27909,Perdido,2025-10-07,2025-10-07,2025-09-25,"GENERICO, EMPRESAS"
Salas,27923,Perdido,2025-10-24,2025-10-24,2025-09-25,"GENERICO, EMPRESAS"
Salas,27978,Perdido,2025-11-19,2025-11-19,2025-09-30,"GENERICO, AGENCIAS"
Salas,27983,Perdido,2025-10-30,2025-10-30,2025-09-29,"GENERICO, EMPRESAS"
Salas,27991,CONFIRMACIÓN,2025-11-08,2025-11-08,2025-09-28,cliente_070
Salas,28030,Perdido,2025-10-24,2025-10-25,2025-09-30,"GENERICO, EMPRESAS"
Habs y Salas,28099,Perdido,2025-10-13,2025-10-15,2025-10-02,"GENERICO, EMPRESAS"
Salas,28100,Perdido,2025-12-19,2025-12-19,2025-10-02,"GENERICO, EMPRESAS"
Salas,28101,CONFIRMACIÓN,2025-10-16,2025-10-16,2025-10-01,cliente_023
Salas,28103,CONFIRMACIÓN,2025-10-07,2025-10-07,2025-10-01,cliente_071
Salas,28104,CONFIRMACIÓN,2025-10-08,2025-10-08,2025-10-01,cliente_072
Salas,28105,CONFIRMACIÓN,2025-10-09,2025-10-09,2025-10-01,cliente_073
Salas,28106,CONFIRMACIÓN,2025-10-09,2025-10-09,2025-10-01,cliente_074
Salas,28129,Perdido,2025-12-13,2025-12-13,2025-10-01,GENERICO GENERICO
Salas,28151,CONFIRMACIÓN,2025-10-09,2025-10-11,2025-10-02,cliente_018
Salas,28153,Perdido,2025-10-03,2025-10-03,2025-10-02,GENERICO GENERICO
Salas,28171,Perdido,2025-12-12,2025-12-12,2025-10-02,GENERICO GENERICO
Salas,28288,Perdido,2025-11-15,2025-11-15,2025-10-05,"GENERICO, EMPRESAS"
Salas,28304,Perdido,2025-11-06,2025-11-06,2025-10-06,GENERICO GENERICO
Salas,28305,Perdido,2025-10-18,2025-10-18,2025-10-06,"GENERICO, AGENCIAS"
Salas,28306,Perdido,2025-12-25,2025-12-25,2025-10-06,GENERICO GENERICO
Salas,28309,CONFIRMACIÓN,2025-12-19,2025-12-21,2025-10-06,cliente_075
Habs y Salas,28315,CONFIRMACIÓN,2025-11-19,2025-11-26,2025-10-06,cliente_030
Salas,28319,Perdido,2025-10-10,2025-10-10,2025-10-06,GENERICO GENERICO
Salas,28325,CONFIRMACIÓN,2025-12-04,2025-12-04,2025-10-06,cliente_040
Salas,28338,Perdido,2025-12-25,2025-12-25,2025-10-06,GENERICO GENERICO
Salas,28340,Perdido,2025-12-01,2025-12-01,2025-10-06,"GENERICO, EMPRESAS"
Salas,28341,Rechazado,2025-11-29,2025-11-29,2025-10-06,GENERICO GENERICO
Salas,28342,CONFIRMACIÓN,2025-12-26,2025-12-26,2025-10-06,cliente_076
Salas,28358,Perdido,2025-10-24,2025-10-24,2025-10-07,GENERICO GENERICO
Salas,28377,CONFIRMACIÓN,2025-10-14,2025-10-14,2025-10-07,cliente_077
Salas,28406,Perdido,2025-12-09,2025-12-10,2025-10-08,"GENERICO, EMPRESAS"
Habs y Salas,28407,Perdido,2025-11-28,2025-11-30,2025-10-08,"GENERICO, AGENCIAS"
Salas,28409,Perdido,2025-10-21,2025-10-21,2025-10-08,"GENERICO, EMPRESAS"
Salas,28410,CONFIRMACIÓN,2025-10-15,2025-10-16,2025-10-08,cliente_078
Salas,28414,Perdido,2025-10-28,2025-10-28,2025-10-08,"GENERICO, EMPRESAS"
Salas,28422,CONFIRMACIÓN,2025-10-15,2025-10-15,2025-10-08,cliente_079
Salas,28447,Perdido,2025-10-20,2025-10-20,2025-10-08,"GENERICO, EMPRESAS"
Salas,28448,CONFIRMACIÓN,2025-10-27,2025-10-28,2025-10-08,cliente_080
Habs y Salas,28450,Perdido,2025-12-08,2025-12-12,2025-10-08,"GENERICO, AGENCIAS"
Salas,28457,CONFIRMACIÓN,2025-10-15,2025-10-16,2025-10-08,cliente_018
Salas,28458,CONFIRMACIÓN,2025-10-16,2025-10-16,2025-10-08,cliente_018
Salas,28501,CONFIRMACIÓN,2025-11-04,2025-11-10,2025-10-09,cliente_081
Habs y Salas,28502,Perdido,2025-12-18,2025-12-19,2025-10-09,"GENERICO, EMPRESAS"
Salas,28517,Perdido,2025-12-16,2025-12-16,2025-10-09,GENERICO GENERICO
Habs y Salas,28538,Perdido,2025-11-27,2025-11-29,2025-10-10,"GENERICO, AGENCIAS"
Salas,28540,Perdido,2025-11-19,2025-11-19,2025-10-10,"GENERICO, AGENCIAS"
Salas,28541,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-10-09,cliente_082
Salas,28564,Perdido,2025-11-08,2025-11-08,2025-10-10,GENERICO GENERICO
Salas,28568,Perdido,2025-10-25,2025-10-25,2025-10-10,GENERICO GENERICO
Salas,28569,Perdido,2025-11-27,2025-11-27,2025-10-10,GENERICO GENERICO
Salas,28591,Perdido,2025-11-07,2025-11-07,2025-10-10,"GENERICO, EMPRESAS"
Salas,28593,CONFIRMACIÓN,2025-12-24,2025-12-24,2025-10-10,cliente_083
Habs y Salas,28602,Perdido,2025-11-14,2025-11-15,2025-10-10,"GENERICO, EMPRESAS"
Habs y Salas,28648,Perdido,2025-11-27,2025-11-30,2025-10-13,"GENERICO, EMPRESAS"
Salas,28649,Perdido,2025-11-13,2025-11-13,2025-10-13,"GENERICO, EMPRESAS"
Salas,28679,CONFIRMACIÓN,2025-10-13,2025-10-13,2025-10-13,cliente_026
Salas,28692,CONFIRMACIÓN,2025-10-21,2025-10-21,2025-10-13,cliente_071
Salas,28705,CONFIRMACIÓN,2025-10-22,2025-10-22,2025-10-13,cliente_084
Salas,28707,CONFIRMACIÓN,2025-10-23,2025-10-23,2025-10-13,cliente_018
Habs y Salas,28710,CONFIRMACIÓN,2025-12-16,2025-12-18,2025-10-14,cliente_085
Habs y Salas,28715,Perdido,2025-11-27,2025-11-28,2025-10-14,"GENERICO, EMPRESAS"
Habs y Salas,28720,Perdido,2025-11-27,2025-11-29,2025-10-14,"GENERICO, EMPRESAS"
Salas,28743,Perdido,2025-11-14,2025-11-14,2025-10-14,GENERICO GENERICO
Habs y Salas,28744,Rechazado,2025-11-25,2025-11-26,2025-10-14,"GENERICO, AGENCIAS"
Salas,28760,Perdido,2025-12-19,2025-12-19,2025-10-15,GENERICO GENERICO
Salas,28818,Perdido,2025-11-15,2025-11-15,2025-10-17,"GENERICO, EMPRESAS"
Habs y Salas,28835,Perdido,2025-11-23,2025-11-29,2025-10-17,"GENERICO, AGENCIAS"
Salas,28837,CONFIRMACIÓN,2025-11-27,2025-11-27,2025-10-17,cliente_086
Habs y Salas,28931,Perdido,2025-11-14,2025-11-16,2025-10-20,"GENERICO, AGENCIAS"
Salas,28933,Perdido,2025-11-22,2025-11-22,2025-10-20,GENERICO GENERICO
Salas,28941,Perdido,2025-11-20,2025-11-20,2025-10-20,GENERICO GENERICO
Salas,28942,CONFIRMACIÓN,2025-10-28,2025-10-28,2025-10-20,cliente_087
Salas,28944,CONFIRMACIÓN,2025-10-29,2025-10-29,2025-10-20,cliente_018
Salas,28953,Perdido,2025-12-25,2025-12-25,2025-10-20,GENERICO GENERICO
Salas,28959,CONFIRMACIÓN,2025-10-30,2025-10-30,2025-10-21,cliente_018
Salas,29016,CONFIRMACIÓN,2025-12-18,2025-12-18,2025-10-21,cliente_088
Salas,29058,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-10-22,cliente_089
Salas,29067,Perdido,2025-11-28,2025-11-28,2025-10-22,GENERICO GENERICO
Salas,29072,CONFIRMACIÓN,2025-12-12,2025-12-12,2025-10-22,cliente_090
Salas,29077,Perdido,2025-11-16,2025-11-16,2025-10-23,GENERICO GENERICO
Salas,29078,Perdido,2025-11-29,2025-11-29,2025-10-23,GENERICO GENERICO
Salas,29104,CONFIRMACIÓN,2025-11-29,2025-11-29,2025-10-23,cliente_091
Salas,29115,Perdido,2025-11-17,2025-11-17,2025-10-23,"GENERICO, AGENCIAS"
Salas,29116,Perdido,2025-11-27,2025-11-27,2025-10-23,"GENERICO, AGENCIAS"
Salas,29169,CONFIRMACIÓN,2025-11-13,2025-11-13,2025-10-27,cliente_023
Salas,29170,CONFIRMACIÓN,2025-12-24,2025-12-24,2025-10-27,cliente_092
Salas,29191,CONFIRMACIÓN,2025-11-17,2025-11-17,2025-10-27,GENERICO GENERICO
Salas,29195,CONFIRMACIÓN,2025-11-16,2025-11-16,2025-10-27,cliente_093
Habs y Salas,29201,Perdido,2025-11-24,2025-11-26,2025-10-27,"GENERICO, AGENCIAS"
Salas,29203,CONFIRMACIÓN,2025-12-10,2025-12-10,2025-10-27,cliente_094
Salas,29263,Perdido,2025-12-11,2025-12-11,2025-10-28,"GENERICO, EMPRESAS"
Salas,29269,Cancelado,2025-11-06,2025-11-06,2025-10-29,"GENERICO, EMPRESAS"
